API回應時間,模型,interval配額,剩餘prompts,已用prompts,interval開始,interval結束,interval剩餘ms,interval剩餘小時,每週配額,每週已用,每週開始,每週結束
2026-03-30 18:18 UTC,MiniMax-M*,1500,1353,147,2026-03-30 08:00,2026-03-30 13:00,9617450,2.67,0,0,2026-03-30 00:00,2026-04-05 00:00
2026-03-30 18:18 UTC,speech-hd,每日,78017450ms,0,2026-03-30 00:00,2026-03-31 00:00,78017450,21.67,0,0,2026-03-30 00:00,2026-04-05 00:00
2026-03-30 18:18 UTC,MiniMax-Hailuo-2.3-Fast-6s-768p,每日,78017450ms,0,2026-03-30 00:00,2026-03-31 00:00,78017450,21.67,0,0,2026-03-30 00:00,2026-04-05 00:00
2026-03-30 18:18 UTC,MiniMax-Hailuo-2.3-6s-768p,每日,78017450ms,0,2026-03-30 00:00,2026-03-31 00:00,78017450,21.67,0,0,2026-03-30 00:00,2026-04-05 00:00
2026-03-30 18:18 UTC,music-2.5,每日,78017450ms,0,2026-03-30 00:00,2026-03-31 00:00,78017450,21.67,0,0,2026-03-30 00:00,2026-04-05 00:00
2026-03-30 18:18 UTC,image-01,每日,78017450ms,0,2026-03-30 00:00,2026-03-31 00:00,78017450,21.67,0,0,2026-03-30 00:00,2026-04-05 00:00
